date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:02	30388/30388	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Nov%202018%2002:22:59%20GMT	https://p.w3layouts.com/demos/new_fashions/web/shop.html	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/shop.html	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:02	16056/16056	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Nov%202018%2002:23:00%20GMT	https://p.w3layouts.com/demos/new_fashions/web/single.html	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/single.html	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:06	16413/16413	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bs1.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bs1.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:08	13967/13967	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bs2.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bs2.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:11	11515/11515	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bs3.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bs3.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:12	12945/12945	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bs4.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bs4.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:13	8370/8370	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bs5.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bs5.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:18	20356/20356	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bs6.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bs6.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:19	18955/18955	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/c1.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/c1.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:20	16398/16398	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/c2.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/c2.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:21	8326/8326	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/c3.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/c3.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:22	12945/12945	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/c4.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/c4.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:26	14048/14048	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/c5.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/c5.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:31	14325/14325	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Nov%202018%2002:23:29%20GMT	https://p.w3layouts.com/demos/new_fashions/web/contact.html	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/contact.html	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:33	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Nov%202018%2002:23:30%20GMT	https://p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.eot	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.22.delayed	(from https://p.w3layouts.com/demos/new_fashions/web/css/bootstrap.css)
09:23:34	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Nov%202018%2002:23:32%20GMT	https://p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.eot?	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regulard41d.eot	(from https://p.w3layouts.com/demos/new_fashions/web/css/bootstrap.css)
09:23:34	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Nov%202018%2002:23:32%20GMT	https://p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.woff	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.woff	(from https://p.w3layouts.com/demos/new_fashions/web/css/bootstrap.css)
09:23:35	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Nov%202018%2002:23:33%20GMT	https://p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.ttf	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.ttf	(from https://p.w3layouts.com/demos/new_fashions/web/css/bootstrap.css)
09:23:36	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Nov%202018%2002:23:33%20GMT	https://p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.svg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/fonts/glyphicons-halflings-regular.svg	(from https://p.w3layouts.com/demos/new_fashions/web/css/bootstrap.css)
09:23:36	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Nov%202018%2002:23:34%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/pagenate.png	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/pagenate.png	(from https://p.w3layouts.com/demos/new_fashions/web/css/bootstrap.css)
09:23:39	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Nov%202018%2002:23:37%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/img-sprite.png	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/img-sprite.png	(from https://p.w3layouts.com/demos/new_fashions/web/css/style.css)
09:23:40	6506/6506	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bg1.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bg1.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/css/style.css)
09:23:41	13830/13830	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bg2.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bg2.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/css/style.css)
09:23:41	4462/4462	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/bg3.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/bg3.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/css/style.css)
09:23:44	111284/111284	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/c6.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/c6.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/index.html)
09:23:45	16677/16677	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/banner2.jpg	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/banner2.jpg	(from https://p.w3layouts.com/demos/new_fashions/web/css/style.css)
09:23:46	6442/6442	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:59:05%20GMT	https://p.w3layouts.com/demos/new_fashions/web/images/social.png	C:/templatefront/emon/p.w3layouts.com/demos/new_fashions/web/images/social.png	(from https://p.w3layouts.com/demos/new_fashions/web/css/style.css)
